"full_text","id_str","created_at","username","user_id_str","lang","location","quote_count","reply_count","retweet_count","favorite_count","tweet_url","mentions","mention_count","source","target"
"@tempodotco Dibayar brp tuh @nahdlatululama Ama 02?","1.77e+32","2024-04-01 00:42:32+00:00","SManikmoyo","1.24e+32","in","Russia","0","0","0","0","https://x.com/SManikmoyo/status/1774598186918887625","tempodotco,nahdlatululama","2","SManikmoyo","tempodotco"
"@ZoelHayat Makanya di Indonesia ini mayoritas ummat islam tp sering menyimpang dari ajaran islam. Penyebab utamanya krn IQ jongkok &amp; integritas rendah. Sorry ormas islam yg sering melakukan kePANDIRan berjamaah itu NU. Cb aja cek 3 wanita itu sy yakin","1.77E+29","2024-04-01 00:54:53+00:00","Anti_Bajingan","1922291311.0","in","Trenggalek, Indonesia","0","0","0","3","https://x.com/Anti_Bajingan/status/1774601294160044204","ZoelHayat","1","Anti_Bajingan","ZoelHayat"
"@tants_dj @evylagi Ustad2 nu yg bener2 luas hatinya ya buya yahya ustad somad padahal mereka lo mainnya sama ustad2 MU .. segelintir orang yg ilmunya dangkal tp mulutnya lebar yg bikin ormas malah makin kacau","1.77E+31","2024-04-01 01:19:07+00:00","xinyuthingker","1.33E+31","in","Mixxtopia","0","1","0","0","https://x.com/xinyuthingker/status/1774607389951705492","tants_dj,evylagi","2","xinyuthingker","tants_dj"
"@geloraco Bukti bhwa @nahdlatululama tidak ikut politik praktik terbantahkan. Ini sekjen dr kemarin bicara PKB terus dan belain 02 @GusIpul_ID sampeyan lagi ngincer jd Ketum PKB kan ngaku saja sudah kelihatan kok gelagatnya...","1.77e+32","2024-04-01 03:37:26+00:00","Toto_1945","9.82E+46","in","Indonesia","0","1","0","0","https://x.com/Toto_1945/status/1774642200560930973","geloraco,nahdlatululama,GusIpul_ID","3","Toto_1945","geloraco"
"@Toto_1945 @geloraco @nahdlatululama @GusIpul_ID Santai aja.. Klu gak mengakui Gak mengucap GAK BAKAL DIDEPORTASI","1.77e+32","2024-04-01 04:05:05+00:00","FashionIin","1.52e+32","in","","0","0","0","0","https://x.com/FashionIin/status/1774649157254545816","Toto_1945,geloraco,nahdlatululama,GusIpul_ID","4","FashionIin","Toto_1945"
"Pj. Bupati Bekasi @daniramdan0112 menghadiri kegiatan Khotmil Qur an ke-9 yang diselenggarakan oleh Majelis Wakil Cabang Nahdlatul Ulama Kecamatan Tambun Selatan berlangsung di Musholla Umi Bariqoh Perumahan Jatimulya Tambun Selatan pada Minggu (31/3). https://t.co/LWSrvkFujz","1.77e+32","2024-04-01 05:07:27+00:00","pemkabekasi","8.34E+46","in","Bekasi, Jawa Barat","0","1","0","1","https://x.com/pemkabekasi/status/1774664853858476387","daniramdan0112","1","pemkabekasi","daniramdan0112"
"@geloraco NU itu Ormas Non Parpol !! Ngapain anda intervensi PKB yg jelas2 Parpol. Malu donk. Jika Pamanku yg sobat dekat nya Gus Dur masih hidup pastinya akan tegur anda sang Sekjen PB NU krn kurang kerjaan..cc @cakimiNOW @DPP_PKB @rahmaniarbaftim @124hm","1.77E+31","2024-04-01 05:08:30+00:00","Fatimah81819162","1.58E+31","in","","0","0","0","2","https://x.com/Fatimah81819162/status/1774665119399903640","geloraco,cakimiNOW,DPP_PKB,rahmaniarbaftim,124hmahHastuti1","5","Fatimah81819162","geloraco"
"Bukti ke TOLOL an @Kemdikbud_RI @Itjen_Kemdikbud @BipaKemdikbud @PAUDDikdasmen @sesjen_dikbud @nahdlatululama @ppmuhammadiyah","1.77e+32","2024-04-01 05:48:32+00:00","LEwaTJENdela","1.49e+32","in","Denpasar Selatan, Indonesia","0","0","0","0","https://x.com/LEwaTJENdela/status/1774675191911829777","Kemdikbud_RI,Itjen_Kemdikbud,BipaKemdikbud,PAUDDikdasmen,sesjen_dikbud,nahdlatululama,ppmuhammadiyah","7","LEwaTJENdela","Kemdikbud_RI"
"Sampai jumpa di Masjid An-Nahdlah PBNU @nahdlatululama https://t.co/HhXHfcO4uj","1.77e+32","2024-04-01 06:03:45+00:00","rifqilmoeslim","76696893.0","in","Kaliwungu","0","0","2","10","https://x.com/rifqilmoeslim/status/1774679021324038230","nahdlatululama","1","rifqilmoeslim","nahdlatululama"
"Sekjen PBNU @nahdlatululama makelar Saipul kena Kasus Dugaan Korupsi BKKBI","1.77e+32","2024-04-01 08:09:31+00:00","albarmuges_","7.3e+30","in","Papua Barat Daya, Indonesia","0","0","1","1","https://x.com/albarmuges_/status/1774710672158495038","nahdlatululama","1","albarmuges_","nahdlatululama"
